checkpoint,step,ppl,mean_nll,tokens
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-0,0,60188.328125,11.005233990959685,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-100,100,3255.767822265625,8.088183562122092,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-200,200,789.3450927734375,6.671203746194295,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-300,300,338.45989990234375,5.824405525679255,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-400,400,250.6910858154297,5.524221550814637,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-500,500,203.29248046875,5.3146456680095975,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-600,600,176.51150512695312,5.1733862729933,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-700,700,155.47640991210938,5.046493997113393,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-800,800,141.62985229492188,4.953216966882358,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-900,900,132.1902313232422,4.884242098074764,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1000,1000,125.4493408203125,4.831902016530548,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1200,1200,111.12197875976562,4.71062871434774,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1400,1400,100.961181640625,4.614736123999996,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1500,1500,96.61122131347656,4.570695074612352,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1600,1600,89.72452545166016,4.496744008585589,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-1800,1800,80.00110626220703,4.382040666776511,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2000,2000,73.63798522949219,4.299160947618597,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2200,2200,69.25704956054688,4.237824966334388,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2400,2400,65.86246490478516,4.187568426162732,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2500,2500,62.87004852294922,4.14106980649378,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2600,2600,62.06501007080078,4.128182349105897,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-2800,2800,58.26563262939453,4.065012283426188,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3000,3000,56.26583480834961,4.030087471330241,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3200,3200,54.49380111694336,3.9980869461426716,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3400,3400,52.38179016113281,3.9585589175044325,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3500,3500,51.92304992675781,3.9497627466003786,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3600,3600,51.57803726196289,3.9430958199397996,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-3800,3800,49.407588958740234,3.90010405645803,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4000,4000,48.835479736328125,3.888457067708367,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4200,4200,47.94231414794922,3.869998410804467,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4400,4400,46.909820556640625,3.848227080764851,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4500,4500,46.155296325683594,3.8320116148823606,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4600,4600,45.66563415527344,3.8213459411300437,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-4800,4800,44.421424865722656,3.7937218888384283,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5000,5000,44.1652946472168,3.78793937392424,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5200,5200,43.790653228759766,3.7794204906966384,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5400,5400,42.91788101196289,3.759288443639725,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5600,5600,42.24283218383789,3.743434626585968,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-5800,5800,41.6817626953125,3.730063751057662,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6000,6000,41.38006591796875,3.7227992454566197,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6200,6200,41.025421142578125,3.7141919993309473,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6400,6400,40.430328369140625,3.6995801830867556,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6600,6600,40.45740509033203,3.7002496457364615,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-6800,6800,39.757904052734375,3.6828086257993795,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7000,7000,39.69816207885742,3.68130482802664,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7200,7200,39.048797607421875,3.664812146456305,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7400,7400,39.03889465332031,3.6645585264627485,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7600,7600,39.146385192871094,3.6673080437024073,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-7800,7800,38.742801666259766,3.6569449230780773,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8000,8000,38.18709945678711,3.6424978574545332,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8200,8200,38.00465393066406,3.637708572163252,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8400,8400,37.820377349853516,3.6328480078563214,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8600,8600,37.85620880126953,3.6337949888782717,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-8800,8800,37.44465637207031,3.6228638919622793,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9000,9000,37.246978759765625,3.6175709710448007,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9200,9200,37.205257415771484,3.616449986100696,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9400,9400,36.9995002746582,3.6109044033572806,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9600,9600,36.98028564453125,3.6103849980670186,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-9800,9800,36.842735290527344,3.6066583633898768,336774
checkpoints/rule_A+P_with_invalid/rule_A+P_with_invalid/checkpoint-10000,10000,36.77086639404297,3.6047059037434894,336774
